,serial,init_equity,equity,leverage,contract,qty,entry_price,losscut_price,exit_price,limit_price,pl,pred,tradetype,stage,losscut,entrytime,exittime,direction,startup_flag
81,29688,750.4553946866961,750.4553946866961,3.0,ETHUSDT,0.91,2479.24,2454.4476,0.0,1654.5637421025317,0.0,1,LONG_CANCEL,0,0,2024-01-19 18:30:00,2024-01-19 19:00:00,upper,0
82,29689,750.4553946866961,745.7129918842301,3.0,ETHUSDT,0.91,2487.08,2462.2092,2484.59,1662.4037421025319,-4.742402802465971,1,LONG_EXIT,0,0,2024-01-19 19:30:00,2024-01-19 20:30:00,upper,0
83,29690,745.7129918842301,747.2121390110121,3.0,ETHUSDT,0.9,2476.89,2501.6589,2472.49,3305.459990982478,1.499147126782077,0,SHORT_EXIT,0,0,2024-01-20 08:30:00,2024-01-20 10:00:00,upper,0
84,29691,747.2121390110121,747.2121390110121,3.0,ETHUSDT,0.91,2464.85,2440.2015,0.0,1643.737759328558,0.0,1,LONG_CANCEL,0,0,2024-01-20 20:30:00,2024-01-20 21:00:00,upper,0
85,29692,747.2121390110121,744.5188389522758,3.0,ETHUSDT,0.91,2475.33,2450.5767,2475.08,1654.217759328558,-2.693300058736304,1,LONG_EXIT,0,0,2024-01-21 03:00:00,2024-01-21 03:30:00,upper,0
86,29693,744.5188389522758,738.1919267837334,3.0,ETHUSDT,0.9,2471.01,2495.7201,2475.31,3298.253154391418,-6.3269121685424015,0,SHORT_EXIT,0,0,2024-01-21 07:00:00,2024-01-21 07:30:00,upper,0
87,29694,738.1919267837334,735.9516934253475,3.0,ETHUSDT,0.89,2478.54,2453.7545999999998,2478.76,1649.110868782322,-2.2402333583859027,1,LONG_EXIT,0,0,2024-01-21 10:30:00,2024-01-21 11:00:00,upper,0
88,29695,735.9516934253475,732.4105528370436,3.0,ETHUSDT,0.89,2469.79,2494.4879,2471.04,3296.70201508466,-3.5411405883038287,0,SHORT_EXIT,0,0,2024-01-21 16:00:00,2024-01-21 16:30:00,upper,0
89,29696,732.4105528370436,728.2135980126816,3.0,ETHUSDT,0.89,2459.63,2484.2263000000003,2461.63,3282.5632054348807,-4.196954824361989,0,SHORT_EXIT,0,0,2024-01-21 23:30:00,2024-01-22 00:30:00,upper,0
90,29697,728.2135980126816,727.8534931392398,3.0,ETHUSDT,0.9,2415.71,2439.8671,2413.44,3224.836220014091,-0.36010487344172937,0,SHORT_EXIT,0,0,2024-01-22 08:30:00,2024-01-22 09:00:00,upper,0
91,29698,727.8534931392398,715.9479766118803,3.0,ETHUSDT,0.92,2385.08,2408.9308,2395.41,3176.225101238304,-11.905516527359497,0,SHORT_EXIT,0,0,2024-01-22 10:30:00,2024-01-22 13:00:00,upper,0
92,29699,715.9479766118803,740.3481482890611,3.0,ETHUSDT,0.92,2343.34,2366.7734,2314.25,3121.544322404218,24.400171677180765,0,SHORT_EXIT,0,0,2024-01-22 19:30:00,2024-01-22 23:30:00,upper,0
93,29700,740.3481482890611,740.3481482890611,3.0,ETHUSDT,0.95,2335.9,2312.541,0.0,1556.5861596957252,0.0,1,LONG_CANCEL,0,0,2024-01-23 03:00:00,2024-01-23 03:30:00,upper,0
94,29701,740.3481482890611,740.3481482890611,3.0,ETHUSDT,0.95,2342.6,2366.026,0.0,3121.913840304275,0.0,0,SHORT_CANCEL,0,0,2024-01-23 04:30:00,2024-01-23 05:00:00,upper,0
95,29702,740.3481482890611,740.3481482890611,3.0,ETHUSDT,0.99,2254.76,2277.3076,0.0,3002.586412413193,0.0,0,SHORT_CANCEL,0,0,2024-01-23 09:30:00,2024-01-23 10:00:00,upper,0
96,29703,740.3481482890611,740.3481482890611,3.0,ETHUSDT,0.99,2237.9,2260.279,0.0,2985.726412413193,0.0,0,SHORT_CANCEL,0,0,2024-01-23 10:30:00,2024-01-23 11:00:00,upper,0
97,29704,740.3481482890611,740.3481482890611,3.0,ETHUSDT,1.01,2204.58,2226.6258,0.0,2937.5979686030305,0.0,0,SHORT_CANCEL,0,0,2024-01-23 14:00:00,2024-01-23 14:30:00,upper,0
98,29705,740.3481482890611,740.3481482890611,3.0,ETHUSDT,1.01,2197.24,2219.2124,0.0,2930.2579686030303,0.0,0,SHORT_CANCEL,0,0,2024-01-23 19:00:00,2024-01-23 19:30:00,upper,0
99,29706,740.3481482890611,740.3481482890611,3.0,ETHUSDT,1.0,2213.77,2191.6322999999998,0.0,1473.4218517109389,0.0,1,LONG_CANCEL,0,0,2024-01-23 22:30:00,2024-01-23 23:00:00,upper,0
100,29707,740.3481482890611,736.1823993997067,3.0,ETHUSDT,0.99,2232.53,2210.2047000000002,2230.79,1484.7035875868073,-4.165748889354413,1,LONG_EXIT,0,0,2024-01-23 23:30:00,2024-01-24 01:00:00,upper,0
101,29708,736.1823993997067,726.0029974816877,3.0,ETHUSDT,1.0,2218.31,2240.4931,2226.06,2954.4923993997068,-10.179401918019032,0,SHORT_EXIT,0,0,2024-01-24 03:30:00,2024-01-24 05:00:00,upper,0
102,29709,726.0029974816877,726.0029974816877,3.0,ETHUSDT,0.97,2238.8,2261.188,0.0,2987.2566984347295,0.0,0,SHORT_CANCEL,0,0,2024-01-24 13:00:00,2024-01-24 13:30:00,upper,0
103,29710,726.0029974816877,724.8909875899982,3.0,ETHUSDT,0.98,2231.19,2253.5019,2229.88,2972.009385185396,-1.1120098916894134,0,SHORT_EXIT,0,0,2024-01-24 14:00:00,2024-01-24 14:30:00,upper,0
104,29711,724.8909875899982,726.2816473309512,3.0,ETHUSDT,0.98,2221.08,2243.2907999999998,2217.22,2960.764681214284,1.390659740952958,0,SHORT_EXIT,0,0,2024-01-24 19:00:00,2024-01-24 21:30:00,upper,0
105,29712,726.2816473309512,721.709317894759,3.0,ETHUSDT,0.98,2228.64,2206.3536,2226.42,1487.5362782337231,-4.57232943619217,1,LONG_EXIT,0,0,2024-01-24 23:30:00,2024-01-25 01:00:00,upper,0
