start_at,open,high,low,close,volume,turnover,date,upper,midle,lower,macd,macdsignal,macdhist,bb_diff,bb_flag,prev_macd,prev_macdsignal,macdhist_positive,macd_rising,macdsignal_rising,macd_positive,macdsignal_positive
1686088800000.0,27046.3,27181.0,27037.0,27141.0,3689.543,99991733.3331,2023-06-06 22:00:00,27472.57,26375.03,25277.48,250.55,79.14,171.4,0.0,,212.61,36.29,True,True,True,True,True
1686092400000.0,27141.0,27356.7,27110.1,27216.9,9967.002,271344403.0656,2023-06-06 23:00:00,27629.83,26455.2,25280.58,283.47,120.0,163.46,0.0,,250.55,79.14,True,True,True,True,True
1686096000000.0,27216.9,27397.0,27152.0,27170.3,7198.014,196173707.3791,2023-06-07 00:00:00,27750.48,26523.31,25296.13,302.31,156.47,145.84,0.0,,283.47,120.0,True,True,True,True,True
1686099600000.0,27170.3,27209.1,27050.3,27075.1,4286.057,116204270.9801,2023-06-07 01:00:00,27824.32,26575.86,25327.4,306.04,186.38,119.65,0.0,,302.31,156.47,True,True,True,True,True
1686103200000.0,27075.1,27084.1,26902.0,26932.8,4201.924,113395037.9725,2023-06-07 02:00:00,27851.94,26609.85,25367.76,294.12,207.93,86.19,0.0,,306.04,186.38,True,False,True,True,True
1686106800000.0,26932.8,26959.8,26720.3,26900.5,8326.748,223390211.4749,2023-06-07 03:00:00,27853.92,26637.53,25421.15,278.85,222.11,56.73,0.0,,294.12,207.93,True,False,True,True,True
1686110400000.0,26900.5,26952.3,26867.6,26922.0,2813.408,75719670.9668,2023-06-07 04:00:00,27842.09,26664.62,25487.15,265.42,230.77,34.65,0.0,,278.85,222.11,True,False,True,True,True
1686114000000.0,26922.0,26969.6,26869.3,26903.1,2005.949,53994739.6545,2023-06-07 05:00:00,27817.4,26687.34,25557.27,250.37,234.69,15.67,0.0,,265.42,230.77,True,False,True,True,True
1686117600000.0,26903.1,26934.7,26801.6,26820.7,2774.827,74556532.00419998,2023-06-07 06:00:00,27762.95,26700.04,25637.13,229.16,233.59,-4.43,0.0,,250.37,234.69,False,False,False,True,True
1686121200000.0,26820.7,26895.0,26746.5,26785.9,4253.782,114064871.5391,2023-06-07 07:00:00,27675.12,26708.21,25741.31,207.14,228.3,-21.15,0.0,,229.16,233.59,False,False,False,True,True
1686124800000.0,26785.9,26835.2,26756.4,26811.0,2659.035,71257974.3975,2023-06-07 08:00:00,27522.18,26718.0,25913.82,189.54,220.55,-31.0,0.0,,207.14,228.3,False,False,False,True,True
1686128400000.0,26811.0,26811.0,26405.0,26475.8,13739.313,365605443.9909,2023-06-07 09:00:00,27359.98,26694.93,26029.89,146.85,205.81,-58.95,0.0,,189.54,220.55,False,False,False,True,True
1686132000000.0,26475.8,26624.6,26335.2,26582.7,12743.502,337466491.2627,2023-06-07 10:00:00,27254.67,26684.25,26113.82,120.25,188.7,-68.44,0.0,,146.85,205.81,False,False,False,True,True
